order_id,date,product_id,machine_id,shift,planned_quantity,actual_quantity,target_time_minutes,actual_time_minutes,operator_id
PO001,2026-06-01,P001,M001,Morning,500,470,480,510,OP01
PO002,2026-06-01,P002,M002,Evening,400,390,420,430,OP02
PO003,2026-06-02,P003,M001,Night,600,550,500,560,OP03
PO004,2026-06-02,P004,M003,Morning,450,430,460,480,OP04
PO005,2026-06-03,P002,M004,Evening,520,500,500,520,OP02
PO006,2026-06-03,P005,M002,Night,300,270,360,400,OP05
PO007,2026-06-04,P001,M005,Morning,700,660,600,640,OP01
PO008,2026-06-04,P003,M003,Evening,550,510,520,550,OP03
PO009,2026-06-05,P004,M001,Night,480,450,470,500,OP04
PO010,2026-06-05,P005,M004,Morning,350,330,390,410,OP05
